"","insectID","cage","instar","treatment","day","date","status","diet","different","drips","ants","molted"
"1",1,"11","3","A_ctrl",0,250609,0,25863.7,NA,"","",""
"2",1,"11","3","A_ctrl",2,250611,0,25715,148.7,"drip on surface of parafilm","",""
"3",1,"11","3","A_ctrl",4,250613,0,25662.6,52.4,"","ants",""
"4",1,"11","3","A_ctrl",7,250616,1,25654.4,8.2,"","",""
"5",1,"11","3","A_ctrl",9,250618,1,25646.3,8.1,"","",""
"6",1,"11","3","A_ctrl",11,250620,1,25640,6.3,"","",""
"7",1,"11","3","A_ctrl",14,250623,1,25630.2,9.8,"","",""
"8",2,"11","3","A_ctrl",0,250609,0,25984.1,NA,"","",""
"9",2,"11","3","A_ctrl",2,250611,1,25969,15.1,"","",""
"10",2,"11","3","A_ctrl",4,250613,1,25960.5,8.5,"","",""
"11",2,"11","3","A_ctrl",7,250616,1,25951.4,9.1,"","",""
"12",2,"11","3","A_ctrl",9,250618,1,25943.9,7.5,"","",""
"13",2,"11","3","A_ctrl",11,250620,1,25937.6,6.3,"","",""
"14",2,"11","3","A_ctrl",14,250623,1,25928.2,9.4,"","",""
"15",3,"10","3","A_ctrl",0,250609,0,26419.4,NA,"","",""
"16",3,"10","3","A_ctrl",2,250611,1,26405.9,13.5,"","",""
"17",3,"10","3","A_ctrl",4,250613,1,26396.5,9.4,"","",""
"18",3,"10","3","A_ctrl",7,250616,1,26386.4,10.1,"","",""
"19",3,"10","3","A_ctrl",9,250618,1,26378.2,8.2,"","",""
"20",3,"10","3","A_ctrl",11,250620,1,26371,7.2,"","",""
"21",3,"10","3","A_ctrl",14,250623,1,26359.6,11.4,"","",""
"22",4,"10","3","A_ctrl",0,250609,0,26159.4,NA,"","",""
"23",4,"10","3","A_ctrl",2,250611,0,26004.2,155.2,"drip on surface of parafilm","",""
"24",4,"10","3","A_ctrl",4,250613,1,25983.4,20.8,"","ants",""
"25",4,"10","3","A_ctrl",7,250616,1,25976.4,7,"","",""
"26",4,"10","3","A_ctrl",9,250618,1,25966.3,10.1,"drips","",""
"27",4,"10","3","A_ctrl",11,250620,1,25960.8,5.5,"","",""
