date,rep,life_stage,evaporation,sex,ailanthone,mass_difference_mg,stylet_sheath
20230726,1,4th,insect,NA,N,8,1
20230726,2,4th,insect,NA,N,13.3,45
20230726,3,4th,insect,NA,N,5.9,2
20230726,4,4th,insect,NA,N,19.3,11
20230726,5,4th,insect,NA,N,5.6,43
20230726,1,4th,insect,NA,Y,32.2,9
20230726,2,4th,insect,NA,Y,10.6,1
20230726,3,4th,insect,NA,Y,42.7,6
20230726,4,4th,insect,NA,Y,23.7,4
20230726,5,4th,insect,NA,Y,11,17
20230802,6,4th,insect,NA,Y,26.3,4
20230726,1,control,control,NA,N,8.7,0
20230726,2,control,control,NA,N,10.1,0
20230726,3,control,control,NA,N,15.5,0
20230726,4,control,control,NA,N,10,0
20230726,5,control,control,NA,N,6.1,0
20230726,6,control,control,NA,N,7.5,0
20230802,7,control,control,NA,N,8.4,0
20230802,8,control,control,NA,N,9.8,0
20230802,9,control,control,NA,N,11,0
20230802,10,control,control,NA,N,10.4,0
20230802,11,control,control,NA,N,7.9,0
20230726,1,adult,insect,female,N,6.1,0
20230726,2,adult,insect,female,N,10.7,0
20230802,4,adult,insect,female,N,55.9,4
20230726,1,adult,insect,female,Y,71.6,6
20230726,2,adult,insect,female,Y,75.3,20
20230726,3,adult,insect,female,Y,17.8,9
20230802,4,adult,insect,female,Y,103.3,3
20230726,1,adult,insect,male,N,21.6,8
20230726,2,adult,insect,male,N,5.8,2
20230726,3,adult,insect,male,N,13.6,0
20230802,4,adult,insect,male,N,71.4,19
20230726,1,adult,insect,male,Y,62.8,3
20230726,2,adult,insect,male,Y,25.4,0
20230726,3,adult,insect,male,Y,41.7,5
20230802,4,adult,insect,male,Y,145.6,8
20230802,5,adult,insect,male,Y,47.8,6
