insectID,cage,instar,treatment,day,date,status,diet,different,drips,ants,molted
1,11,3,A_ctrl,0,250609,1,25863.7,,,,
1,11,3,A_ctrl,2,250611,1,25715,148.7,drip on surface of parafilm,,
1,11,3,A_ctrl,4,250613,1,25662.6,52.4,,ants,
1,11,3,A_ctrl,7,250616,0,25654.4,8.2,,,
1,11,3,A_ctrl,9,250618,0,25646.3,8.1,,,
1,11,3,A_ctrl,11,250620,0,25640,6.3,,,
1,11,3,A_ctrl,14,250623,0,25630.2,9.8,,,
2,11,3,A_ctrl,0,250609,1,25984.1,,,,
2,11,3,A_ctrl,2,250611,0,25969,15.1,,,
2,11,3,A_ctrl,4,250613,0,25960.5,8.5,,,
2,11,3,A_ctrl,7,250616,0,25951.4,9.1,,,
2,11,3,A_ctrl,9,250618,0,25943.9,7.5,,,
2,11,3,A_ctrl,11,250620,0,25937.6,6.3,,,
2,11,3,A_ctrl,14,250623,0,25928.2,9.4,,,
3,10,3,A_ctrl,0,250609,1,26419.4,,,,
3,10,3,A_ctrl,2,250611,0,26405.9,13.5,,,
3,10,3,A_ctrl,4,250613,0,26396.5,9.4,,,
3,10,3,A_ctrl,7,250616,0,26386.4,10.1,,,
3,10,3,A_ctrl,9,250618,0,26378.2,8.2,,,
3,10,3,A_ctrl,11,250620,0,26371,7.2,,,
3,10,3,A_ctrl,14,250623,0,26359.6,11.4,,,
4,10,3,A_ctrl,0,250609,1,26159.4,,,,
4,10,3,A_ctrl,2,250611,1,26004.2,155.2,drip on surface of parafilm,,
4,10,3,A_ctrl,4,250613,0,25983.4,20.8,,ants,
4,10,3,A_ctrl,7,250616,0,25976.4,7,,,
4,10,3,A_ctrl,9,250618,0,25966.3,10.1,drips,,
4,10,3,A_ctrl,11,250620,0,25960.8,5.5,,,
4,10,3,A_ctrl,14,250623,0,25949.6,11.2,,,
5,10,3,A_ctrl,0,250609,1,26117.3,,,,
5,10,3,A_ctrl,2,250611,1,26101.8,15.5,lots of drips on surface of parafilm,,
5,10,3,A_ctrl,4,250613,1,25916.2,185.6,,,
5,10,3,A_ctrl,7,250616,1,25888.6,27.6,lots of drips on surface of parafilm,,
5,10,3,A_ctrl,9,250618,0,25874.2,14.4,driips,,
5,10,3,A_ctrl,11,250620,0,25867.1,7.1,,,
5,10,3,A_ctrl,14,250623,0,25855,12.1,,,
6,10,3,A_ctrl,0,250609,1,26187.7,,,,
6,10,3,A_ctrl,2,250611,0,26170.1,17.6,,,
6,10,3,A_ctrl,4,250613,0,26157.2,12.9,,,
6,10,3,A_ctrl,7,250616,0,26140.4,16.8,,,
6,10,3,A_ctrl,9,250618,0,26130.3,10.1,,,
6,10,3,A_ctrl,11,250620,0,26122.3,8,,,
6,10,3,A_ctrl,14,250623,0,26110.9,11.4,,,
7,10,3,A_ctrl,0,250609,1,26250.6,,,,
7,10,3,A_ctrl,2,250611,1,26158.3,92.3,drip on surface of parafilm,,
7,10,3,A_ctrl,4,250613,1,26012.5,145.8,,,
7,10,3,A_ctrl,7,250616,1,25877,135.5,,,
7,10,3,A_ctrl,9,250618,1,25757,120,,,
7,10,3,A_ctrl,11,250620,1,25741.7,15.3,,,
7,10,3,A_ctrl,14,250623,0,25726.9,14.8,,,
8,10,3,A_ctrl,0,250609,1,26233,,,,
8,10,3,A_ctrl,2,250611,1,26197.3,35.7,drip on surface of parafilm,,
8,10,3,A_ctrl,4,250613,1,26111.4,85.9,,,
8,10,3,A_ctrl,7,250616,0,26097.7,13.7,,,
8,10,3,A_ctrl,9,250618,0,26085.5,12.2,,,
8,10,3,A_ctrl,11,250620,0,26077.2,8.3,,,
8,10,3,A_ctrl,14,250623,0,26061,16.2,,,
9,10,3,A_ctrl,0,250609,1,25985,,,,
9,10,3,A_ctrl,2,250611,0,25972.1,12.9,,,
9,10,3,A_ctrl,4,250613,0,25917.3,54.8,,,
9,10,3,A_ctrl,7,250616,0,25905.5,11.8,,,
9,10,3,A_ctrl,9,250618,0,25897.3,8.2,,,
9,10,3,A_ctrl,11,250620,0,25890.4,6.9,,,
9,10,3,A_ctrl,14,250623,0,25879.4,11,,,
10,10,3,A_ctrl,0,250609,1,26322.6,,,,
10,10,3,A_ctrl,2,250611,1,26245.9,76.7,drip on surface of parafilm,,
10,10,3,A_ctrl,4,250613,1,26228.6,17.3,,ants,
10,10,3,A_ctrl,7,250616,0,26210.1,18.5,,,
10,10,3,A_ctrl,9,250618,0,26155.5,54.6,,,
10,10,3,A_ctrl,11,250620,0,26106.2,49.3,,,
10,10,3,A_ctrl,14,250623,0,26029.3,76.9,,,
11,9,3,A_ctrl,0,250609,1,27444.5,,,,
11,9,3,A_ctrl,2,250611,1,27422.6,21.9,,,
11,9,3,A_ctrl,4,250613,0,27405.5,17.1,,,
11,9,3,A_ctrl,7,250616,0,27387.2,18.3,,Ants (17),
11,9,3,A_ctrl,9,250618,0,27328.8,58.4,,,
11,9,3,A_ctrl,11,250620,0,27315.3,13.5,,,
11,9,3,A_ctrl,14,250623,0,23665.3,3650,lots of drips,,
12,11,3,A_ctrl,0,250609,1,26238.1,,,,
12,11,3,A_ctrl,2,250611,1,26191.5,46.6,,,
12,11,3,A_ctrl,4,250613,1,26168.3,23.2,,,
12,11,3,A_ctrl,7,250616,1,26085.4,82.9,drips,Ants (17),
12,11,3,A_ctrl,9,250618,1,26010.5,74.9,,,
12,11,3,A_ctrl,11,250620,1,25918.3,92.2,,,
12,11,3,A_ctrl,14,250623,1,25815,103.3,,,
12,11,3,A_ctrl,16,250625,1,25711.9,103.1,,,
12,11,3,A_ctrl,18,250627,1,25683.2,28.7,,,
12,11,3,A_ctrl,21,250630,1,25624.9,58.3,,,
12,11,3,A_ctrl,23,250702,1,25584.6,40.3,,,
12,11,3,A_ctrl,25,250704,0,25564.4,20.2,lots of drips,,
13,11,3,A_ctrl,0,250609,1,26006.5,,,,
13,11,3,A_ctrl,2,250611,1,25986.9,19.6,,,
13,11,3,A_ctrl,4,250613,1,25970,16.9,,,
13,11,3,A_ctrl,7,250616,0,25945.8,24.2,,,
13,11,3,A_ctrl,9,250618,0,25935.9,9.9,,,
13,11,3,A_ctrl,11,250620,0,25928.3,7.6,,,
13,11,3,A_ctrl,14,250623,0,25910,18.3,,,
14,9,3,A_ctrl,0,250609,1,26177.8,,,,
14,9,3,A_ctrl,2,250611,1,26164.5,13.3,,,
14,9,3,A_ctrl,4,250613,1,25772.9,391.6,,ants,
14,9,3,A_ctrl,7,250616,1,25761.4,11.5,,,
14,9,3,A_ctrl,9,250618,0,25752.3,9.1,,,
14,9,3,A_ctrl,11,250620,0,25745.2,7.1,,,
14,9,3,A_ctrl,14,250623,0,25734.6,10.6,,,
15,9,3,A_ctrl,0,250609,1,26013.6,,,,
15,9,3,A_ctrl,2,250611,1,26001.1,12.5,,,
15,9,3,A_ctrl,4,250613,0,25990.6,10.5,,,
15,9,3,A_ctrl,7,250616,0,25977.1,13.5,,,
15,9,3,A_ctrl,9,250618,0,25842.1,135,,,
15,9,3,A_ctrl,11,250620,0,25832.5,9.6,,,
15,9,3,A_ctrl,14,250623,0,25810.2,22.3,,,
16,7,3,B_ctrl,0,250609,1,28334,,,,
16,7,3,B_ctrl,2,250611,1,28304.9,29.1,,,
16,7,3,B_ctrl,4,250613,1,28229.5,75.4,,,
16,7,3,B_ctrl,7,250616,1,28191,38.5,,,
16,7,3,B_ctrl,9,250618,0,28173.6,17.4,,,molted
16,7,3,B_ctrl,11,250620,0,28167.2,6.4,,,
16,7,3,B_ctrl,14,250623,0,28158.1,9.1,,,
17,7,3,B_ctrl,0,250609,1,28170,,,,
17,7,3,B_ctrl,2,250611,1,28133.6,36.4,,,
17,7,3,B_ctrl,4,250613,1,28094.3,39.3,,,
17,7,3,B_ctrl,7,250616,1,28044.6,49.7,,,molted
17,7,3,B_ctrl,9,250618,1,28021.6,23,,,
17,7,3,B_ctrl,11,250620,0,28014.8,6.8,,,
17,7,3,B_ctrl,14,250623,0,28010,4.8,,,
18,7,3,B_ctrl,0,250609,1,28206.2,,,,
18,7,3,B_ctrl,2,250611,1,28177.9,28.3,,,
18,7,3,B_ctrl,4,250613,1,28153.6,24.3,,,
18,7,3,B_ctrl,7,250616,1,28124.3,29.3,,Ants (17),molted
18,7,3,B_ctrl,9,250618,1,28020.8,103.5,,,
18,7,3,B_ctrl,11,250620,1,27928.1,92.7,,,
18,7,3,B_ctrl,14,250623,1,27877.5,50.6,,,
18,7,3,B_ctrl,16,250625,1,27276.4,601.1,diet on paper,,
18,7,3,B_ctrl,18,250627,1,27195.5,80.9,,,
18,7,3,B_ctrl,21,250630,1,26851.1,344.4,,,
18,7,3,B_ctrl,23,250702,1,26784.7,66.4,,,
18,7,3,B_ctrl,25,250704,1,26697.9,86.8,,,
18,7,3,B_ctrl,28,250707,0,25303.1,1394.8,"bubble, parafilm disrupted",,
19,7,3,B_ctrl,0,250609,1,28171.4,,,,
19,7,3,B_ctrl,2,250611,1,28151,20.4,,,
19,7,3,B_ctrl,4,250613,0,28141.5,9.5,,,
19,7,3,B_ctrl,7,250616,0,28131.5,10,,Ants (17),
19,7,3,B_ctrl,9,250618,0,28111.4,20.1,,,
19,7,3,B_ctrl,11,250620,0,28026.3,85.1,,,
19,7,3,B_ctrl,14,250623,0,27834.4,191.9,,,
20,7,3,B_ctrl,0,250609,1,28361.8,,,,
20,7,3,B_ctrl,2,250611,1,28289.5,72.3,,,
20,7,3,B_ctrl,4,250613,1,28263.3,26.2,,,
20,7,3,B_ctrl,7,250616,0,28252.5,10.8,,,
20,7,3,B_ctrl,9,250618,0,28243.1,9.4,,,
20,7,3,B_ctrl,11,250620,0,28237,6.1,,,
20,7,3,B_ctrl,14,250623,0,28227.4,9.6,,,
21,7,3,B_ctrl,0,250609,1,28161.1,,,,
21,7,3,B_ctrl,2,250611,1,28134,27.1,,,
21,7,3,B_ctrl,4,250613,1,28072.4,61.6,,,
21,7,3,B_ctrl,7,250616,1,27966.7,105.7,,,
21,7,3,B_ctrl,9,250618,0,27958.5,8.2,,,
