insectID,plant,instar,day,status
1,grape,1st instar,0,0
2,grape,1st instar,0,0
3,grape,1st instar,0,0
4,grape,1st instar,0,0
5,grape,1st instar,0,0
6,grape,1st instar,0,0
7,grape,1st instar,0,0
8,grape,1st instar,0,0
9,grape,1st instar,0,0
10,grape,1st instar,0,0
11,grape,1st instar,0,0
12,grape,1st instar,0,0
13,grape,1st instar,0,0
14,grape,1st instar,0,0
15,grape,1st instar,0,0
16,grape,1st instar,0,0
17,grape,1st instar,0,0
18,grape,1st instar,0,0
19,grape,1st instar,0,0
20,grape,1st instar,0,0
21,grape,1st instar,0,0
22,grape,1st instar,0,0
23,grape,1st instar,0,0
24,grape,1st instar,0,0
25,grape,1st instar,0,0
26,grape,1st instar,0,0
27,grape,1st instar,0,0
28,grape,1st instar,0,0
29,grape,1st instar,0,0
30,grape,1st instar,0,0
1,grape,1st instar,7,0
2,grape,1st instar,7,0
3,grape,1st instar,7,0
4,grape,1st instar,7,0
5,grape,1st instar,7,0
6,grape,1st instar,7,0
7,grape,1st instar,7,0
8,grape,1st instar,7,0
9,grape,1st instar,7,0
10,grape,1st instar,7,0
11,grape,1st instar,7,0
12,grape,1st instar,7,0
13,grape,1st instar,7,0
14,grape,1st instar,7,0
15,grape,1st instar,7,0
16,grape,1st instar,7,0
17,grape,1st instar,7,0
18,grape,1st instar,7,0
19,grape,1st instar,7,0
20,grape,1st instar,7,0
21,grape,1st instar,7,0
22,grape,1st instar,7,0
23,grape,1st instar,7,0
24,grape,1st instar,7,0
25,grape,1st instar,7,0
26,grape,1st instar,7,0
27,grape,1st instar,7,0
28,grape,1st instar,7,1
29,grape,1st instar,7,1
30,grape,1st instar,7,1
1,grape,1st instar,14,0
2,grape,1st instar,14,0
3,grape,1st instar,14,0
4,grape,1st instar,14,0
5,grape,1st instar,14,0
6,grape,1st instar,14,0
7,grape,1st instar,14,0
8,grape,1st instar,14,0
9,grape,1st instar,14,0
10,grape,1st instar,14,0
11,grape,1st instar,14,0
12,grape,1st instar,14,0
13,grape,2nd instar,14,0
14,grape,2nd instar,14,0
15,grape,2nd instar,14,0
16,grape,2nd instar,14,0
17,grape,2nd instar,14,0
18,grape,2nd instar,14,0
19,grape,2nd instar,14,0
20,grape,2nd instar,14,0
21,grape,2nd instar,14,0
22,grape,2nd instar,14,0
23,grape,2nd instar,14,0
24,grape,2nd instar,14,0
25,grape,2nd instar,14,0
26,grape,2nd instar,14,0
27,grape,1st instar,14,1
28,grape,1st instar,14,1
29,grape,1st instar,14,1
30,grape,1st instar,14,1
1,grape,2nd instar,21,0
2,grape,2nd instar,21,0
3,grape,2nd instar,21,0
4,grape,2nd instar,21,0
5,grape,2nd instar,21,0
6,grape,2nd instar,21,0
7,grape,2nd instar,21,0
8,grape,2nd instar,21,0
9,grape,2nd instar,21,0
10,grape,2nd instar,21,0
11,grape,2nd instar,21,0
12,grape,2nd instar,21,0
13,grape,2nd instar,21,0
14,grape,2nd instar,21,0
15,grape,2nd instar,21,0
16,grape,2nd instar,21,0
17,grape,2nd instar,21,0
18,grape,2nd instar,21,0
19,grape,2nd instar,21,0
20,grape,2nd instar,21,0
21,grape,2nd instar,21,0
22,grape,2nd instar,21,0
23,grape,2nd instar,21,0
24,grape,2nd instar,21,0
25,grape,2nd instar,21,0
26,grape,2nd instar,21,1
27,grape,1st instar,21,1
28,grape,1st instar,21,1
29,grape,1st instar,21,1
30,grape,1st instar,21,1
1,grape,3rd instar,28,0
2,grape,3rd instar,28,0
3,grape,3rd instar,28,0
4,grape,3rd instar,28,0
5,grape,3rd instar,28,0
6,grape,3rd instar,28,0
7,grape,3rd instar,28,0
8,grape,3rd instar,28,0
9,grape,3rd instar,28,0
10,grape,2nd instar,28,0
11,grape,2nd instar,28,0
12,grape,2nd instar,28,0
13,grape,2nd instar,28,0
14,grape,2nd instar,28,0
15,grape,2nd instar,28,0
16,grape,2nd instar,28,0
17,grape,2nd instar,28,0
18,grape,2nd instar,28,0
19,grape,2nd instar,28,0
20,grape,2nd instar,28,0
21,grape,2nd instar,28,0
22,grape,2nd instar,28,0
23,grape,2nd instar,28,0
24,grape,2nd instar,28,1
25,grape,2nd instar,28,1
26,grape,2nd instar,28,1
27,grape,1st instar,28,1
28,grape,1st instar,28,1
29,grape,1st instar,28,1
30,grape,1st instar,28,1
1,grape,3rd instar,35,0
2,grape,3rd instar,35,0
3,grape,3rd instar,35,0
4,grape,3rd instar,35,0
5,grape,3rd instar,35,0
6,grape,3rd instar,35,0
7,grape,3rd instar,35,0
8,grape,3rd instar,35,0
9,grape,3rd instar,35,0
10,grape,3rd instar,35,0
11,grape,3rd instar,35,0
12,grape,3rd instar,35,0
13,grape,3rd instar,35,0
14,grape,3rd instar,35,0
15,grape,3rd instar,35,0
16,grape,3rd instar,35,0
17,grape,3rd instar,35,0
18,grape,3rd instar,35,0
19,grape,3rd instar,35,0
20,grape,3rd instar,35,0
21,grape,3rd instar,35,0
22,grape,3rd instar,35,0
23,grape,3rd instar,35,0
24,grape,2nd instar,35,1
25,grape,2nd instar,35,1
26,grape,2nd instar,35,1
27,grape,1st instar,35,1
